"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 18 10:43:02 GMT 2023","Wed Jan 18 10:43:05 GMT 2023","2059","tests","test_github_with_selene","","","","test_github",""
"broken","Wed Jan 18 10:43:05 GMT 2023","Wed Jan 18 10:43:05 GMT 2023","847","tests","test_github_with_steps","","","","test_dynamic_steps",""
"broken","Wed Jan 18 10:43:06 GMT 2023","Wed Jan 18 10:43:06 GMT 2023","825","tests","test_github_with_steps","","","","test_decorator_steps",""
