"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 18 10:40:07 GMT 2023","Wed Jan 18 10:40:07 GMT 2023","804","tests","test_github_with_steps","","","","test_dynamic_steps",""
"broken","Wed Jan 18 10:40:08 GMT 2023","Wed Jan 18 10:40:08 GMT 2023","787","tests","test_github_with_steps","","","","test_decorator_steps",""
"broken","Wed Jan 18 10:40:02 GMT 2023","Wed Jan 18 10:40:07 GMT 2023","4896","tests","test_github_with_selene","","","","test_github",""
