"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 18 10:34:14 GMT 2023","Wed Jan 18 10:34:18 GMT 2023","4435","tests","test_github_with_selene","","","","test_github",""
"broken","Wed Jan 18 10:34:18 GMT 2023","Wed Jan 18 10:34:19 GMT 2023","807","tests","test_github_with_steps","","","","test_dynamic_steps",""
"broken","Wed Jan 18 10:34:19 GMT 2023","Wed Jan 18 10:34:20 GMT 2023","787","tests","test_github_with_steps","","","","test_decorator_steps",""
